date,baseline_cost_yuan,candidate_cost_yuan,saving_yuan,baseline_emergency_kwh,candidate_emergency_kwh,baseline_spill_kwh,candidate_spill_kwh,baseline_ending_inventory_kwh,candidate_ending_inventory_kwh
2025-02-01,20866.872237886364,20866.872237886364,0.0,7.691625114603085e-12,7.691625114603085e-12,3526.6514341774064,3520.318100844075,10320.0,10320.0
2025-02-02,61846.66983119197,61846.66983119196,7.275957614183426e-12,1.2015277661703294e-11,1.1105782959930366e-11,3603.865058685272,3603.8650586852727,8005.053003530739,8005.053003530739
2025-02-03,63986.34640511639,63986.34640511639,0.0,1.758593271006248e-11,1.758593271006248e-11,2328.5062732250935,2328.5062732250935,6713.450009568383,6713.450009568383
2025-02-04,66916.82205923522,66916.82205923522,0.0,1.4480860954790842e-11,1.375610736431554e-11,3670.173417106274,3663.840083772917,6034.154947579098,6034.154947579098
2025-02-05,63600.26571882317,63600.26571882317,0.0,1.986100173212435e-11,1.9974688569845966e-11,1400.2446470002878,1400.2446470002878,7267.709554211694,7267.709554211694
2025-02-06,63439.320372771836,63439.320372771836,0.0,6.968953697103922,6.968953697104036,1385.239552346091,1385.2395523460905,4257.531565660658,4257.531565660658
2025-02-07,20235.873857918086,20235.873857918086,0.0,82.41569127925064,82.41569127925078,6713.668532232361,6713.668532232361,7072.228879219194,7072.228879219194
2025-02-08,17260.755423793296,17260.755423793293,3.637978807091713e-12,1.4914292023604503e-11,1.525535253676935e-11,1872.7576435948797,1872.757643594876,10291.651844436929,10291.651844436929
2025-02-09,60147.39353480625,60147.39353480625,0.0,1.737987531669205e-11,1.737987531669205e-11,1930.5277776364337,1930.5277776364342,5676.145261622307,5676.145261622307
2025-02-10,57241.8512318538,57252.61632607424,-10.765094220441824,1.4639400802707314e-11,1.3943068921662416e-11,1211.9925468687677,1230.3895012001303,6121.586819309954,6121.586819309954
2025-02-11,58400.37130320928,58400.37130320928,0.0,457.8429983253967,457.8429983253967,229.6446699495168,229.6446699495168,5698.358249345633,5698.358249345633
2025-02-12,57216.06891453073,57216.06891453073,0.0,1.7831958132319414e-11,1.6633805444143945e-11,729.0268692433837,729.0268692434104,7342.225285046913,7342.225285046913
2025-02-13,51498.7631684573,51498.76316845731,-1.4551915228366852e-11,27.16382616242045,27.16382616242167,1702.1156302818495,1683.1156302818586,2087.389963133786,2087.389963133786
2025-02-14,17281.510434449636,17281.51043444963,7.275957614183426e-12,1.517719283583574e-11,1.4210854715202004e-11,3536.6388838021953,3530.305550468868,5255.777958187044,5255.777958187033
2025-02-15,18305.365810662555,18305.365810662566,-1.0913936421275139e-11,1.5447199075424578e-11,1.5504042494285386e-11,3138.503691120802,3138.5036911208026,10539.194184548074,10539.19418454808
2025-02-16,56230.97799326547,56231.33595069761,-0.3579574321411201,12.854282298829089,12.854282298834041,2.226085982215409e-11,2.177058533447962e-11,7109.229258324955,7109.635833900005
2025-02-17,54527.48832292206,54527.2837250577,0.20459786435822025,26.61401640921025,26.61401640921389,725.4565510689376,725.4565510689355,6242.395210924009,6242.395210924009
2025-02-18,51533.04353334301,51533.04353334301,0.0,2.0410340084708878e-11,2.0978774273316958e-11,788.6565121055816,788.6565121055813,4565.923531176059,4565.92353117606
2025-02-19,53942.217436602965,53942.21743660295,1.4551915228366852e-11,46.88121986785536,46.881219867858874,638.1908988943263,638.1908988943138,5737.406548794579,5737.406548794581
2025-02-20,51699.30561827199,51699.30561827199,0.0,33.098494074089885,33.09849407409,1262.7626000065222,1262.7626000065168,2212.3876934315413,2212.3876934315426
2025-02-21,16495.188374907688,16495.188374907695,-7.275957614183426e-12,1.028865881380625e-11,1.2676082405960187e-11,6035.032933209715,6041.36626654305,5935.617868081343,5935.617868081343
2025-02-22,17011.59992835242,17011.59992835242,0.0,1.1425527191022411e-11,1.1425527191022411e-11,3693.7721329318147,3693.7721329318138,10368.309994505036,10368.309994505036
2025-02-23,50850.37126766582,50850.37126766583,-1.4551915228366852e-11,17.00100516402397,17.001005164025447,702.3720972277791,702.3720972277804,6405.917927059622,6405.917927059623
2025-02-24,50047.549239443906,50047.549239443906,0.0,29.07246666668257,29.072466666682132,1357.332999603962,1357.3329996039502,5374.949775326317,5374.949775326317
2025-02-25,50762.65113324103,50762.65113324103,0.0,31.0950000000161,31.0950000000161,2163.077648023952,2163.077648023952,7050.999796461856,7050.999796461856
2025-02-26,49795.926418028495,49795.926418028495,0.0,1.7342571823064645e-11,1.7342571823064645e-11,911.4169014688418,911.4169014688418,7110.0,7110.0
2025-02-27,45612.74654146221,45612.74654146221,0.0,1.8735235585154442e-11,1.658584380948014e-11,306.0358318454987,306.0358318454959,3186.1600954467795,3186.160095446779
2025-02-28,14621.025693449354,14621.025693449352,1.8189894035458565e-12,1.1254996934439987e-11,1.1539214028744027e-11,7090.714378829442,7090.7143788294425,4281.279345076506,4281.279345076506
2025-03-01,17667.8767131805,17667.876713180496,3.637978807091713e-12,1.0658141036401503e-11,1.0011547146859812e-11,7959.843017058012,7959.843017058008,10107.294024996345,10107.294024996349
2025-03-02,52443.056421856796,52455.526421856805,-12.47000000000844,1.610622746284207e-11,1.7847057165454316e-11,2785.64469975064,2837.9780330839762,5122.93340600278,5122.933406002781
